Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Label
67.0,8.0,-1.0,-1.0,1500.0,-1.0,-1.0,17.0,1.0,27.0,-0.5,-1.0,-1.0,0.5,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-0.5,0.25,1.0,1.0,-1.0,-0.5,0.0,1.0,-1.0,-1.0,-0.5,-0.5,-1.0,-1.0,1
58.0,3.0,-1.0,1.0,700.0,-1.0,1.0,15.0,1.0,32.7,-0.5,-1.0,1.0,0.5,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.75,1.0,1.0,1.0,0.5,-1.0,0.0,1.0,0.0,1.0,-0.5,-1.0,-1.0,1
62.0,0.0,-1.0,1.0,500.0,1.0,1.0,20.0,1.0,36.0,1.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-0.5,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,-0.5,-1.0,1.0,-1.0,-1.0,-0.5,-0.5,1.0,-1.0,1
73.0,0.0,1.0,-1.0,800.0,-1.0,1.0,30.0,1.0,26.2,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-0.75,-1.0,1.0,-1.0,-0.5,1.0,0.0,0.5,1.0,0.5,1.0,-1.0,-1.0,1
34.0,3.0,-1.0,-1.0,2000.0,-1.0,1.0,25.0,-1.0,19.1,-0.5,-1.0,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-0.5,1.0,1.0,-1.0,-1.0,-0.5,-1.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1
51.0,15.0,1.0,-1.0,1000.0,1.0,1.0,5.0,1.0,20.8,-0.5,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.25,-1.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1
65.0,0.0,1.0,-1.0,800.0,-1.0,1.0,10.0,1.0,23.6,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.5,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1
40.0,9.0,-1.0,-1.0,1500.0,-1.0,-1.0,3.0,1.0,18.2,-0.5,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.5,1.0,1.0,-1.0,-1.0,-1.0,-0.75,1.0,-1.0,1.0,-0.5,0.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1
54.0,4.0,-1.0,1.0,800.0,-1.0,-1.0,10.0,1.0,26.4,1.0,-1.0,-1.0,-0.5,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,0.0,0.5,1.0,0.5,-1.0,1.0,-1.0,1
44.0,3.0,1.0,1.0,1800.0,-1.0,1.0,7.0,1.0,33.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.5,1.0,1.0,0.5,1.0,1.0,-1.0,-1.0,-1.0,1
65.0,8.0,-1.0,-1.0,800.0,-1.0,-1.0,13.0,1.0,18.0,-0.5,-1.0,-1.0,0.5,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-0.5,0.25,1.0,1.0,-1.0,-0.5,0.0,1.0,-1.0,-1.0,-0.5,-0.5,-1.0,-1.0,1
81.0,0.0,1.0,-1.0,700.0,1.0,1.0,25.0,1.0,21.4,-0.5,0.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,-0.5,-0.5,-1.0,-1.0,1
49.0,8.0,1.0,1.0,2000.0,1.0,1.0,10.0,1.0,27.8,-0.5,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1
69.0,3.0,-1.0,-1.0,700.0,-1.0,-1.0,20.0,1.0,26.9,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-0.5,0.0,1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,1
44.0,11.0,1.0,1.0,1200.0,-1.0,-1.0,5.0,1.0,20.4,-0.5,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.5,-1.0,1.0,-1.0,-1.0,1.0,-0.75,-1.0,-1.0,1.0,-0.5,0.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1
67.0,3.0,1.0,-1.0,700.0,-1.0,1.0,15.0,1.0,24.2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.5,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1
77.0,1.0,1.0,-1.0,900.0,-1.0,1.0,20.0,1.0,27.1,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-0.75,-1.0,1.0,-1.0,-0.5,1.0,0.0,0.5,1.0,0.5,1.0,-1.0,-1.0,1
38.0,11.0,-1.0,-1.0,2000.0,-1.0,1.0,25.0,-1.0,22.3,-0.5,-1.0,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-0.5,1.0,1.0,-1.0,-1.0,-0.5,-1.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1
59.0,11.0,-1.0,1.0,1500.0,-1.0,1.0,10.0,1.0,28.69,-0.5,-1.0,-1.0,0.5,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.25,1.0,-1.0,-1.0,0.5,0.0,0.0,1.0,-1.0,1.0,0.5,-1.0,-1.0,1
52.0,3.0,-1.0,-1.0,660.0,1.0,1.0,22.0,1.0,32.79,0.5,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.5,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.5,1.0,-1.0,-1.0,0.0,-0.5,-1.0,-1.0,-1.0,1
77.0,0.0,-1.0,-1.0,660.0,1.0,1.0,15.0,1.0,25.44,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,0.5,-1.0,-1.0,1.0,-1.0,0.5,-1.0,-1.0,1.0,0.0,1.0,1.0,-1.0,-1.0,1
53.0,11.0,-1.0,-1.0,2000.0,-1.0,-1.0,15.0,1.0,33.79,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.5,1.0,-1.0,-1.0,-1.0,-0.5,-0.75,1.0,0.0,-1.0,-0.5,-1.0,0.0,1.0,-1.0,-1.0,-0.5,-1.0,-1.0,1
55.0,5.0,1.0,1.0,900.0,1.0,1.0,13.0,1.0,23.31,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,-1.0,-0.5,-1.0,-1.0,0.5,0.0,1.0,1.0,-1.0,-1.0,1
47.0,1.0,1.0,-1.0,800.0,-1.0,1.0,5.0,1.0,24.7,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-0.75,-1.0,1.0,-1.0,-0.5,1.0,0.0,0.5,1.0,0.5,1.0,-1.0,-1.0,1
62.0,3.0,-1.0,-1.0,700.0,1.0,1.0,10.0,1.0,31.0,0.5,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.5,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.5,1.0,-1.0,-1.0,0.0,-0.5,-1.0,-1.0,-1.0,1
75.0,5.0,1.0,1.0,900.0,1.0,1.0,11.0,1.0,22.4,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,-1.0,-0.5,-1.0,-1.0,0.5,0.0,1.0,1.0,-1.0,-1.0,1
50.0,1.0,1.0,-1.0,1000.0,-1.0,1.0,7.0,1.0,33.9,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-0.75,-1.0,1.0,-1.0,-0.5,1.0,0.0,0.5,1.0,0.5,1.0,-1.0,-1.0,1
44.0,3.0,-1.0,-1.0,1500.0,1.0,1.0,3.0,1.0,22.5,0.5,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.5,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.5,1.0,-1.0,-1.0,0.0,-0.5,-1.0,-1.0,-1.0,1
66.0,4.0,1.0,1.0,2800.0,-1.0,1.0,5.0,1.0,37.52,-0.5,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.5,-1.0,1.0,1.0,-1.0,-1.0,-0.5,-1.0,-1.0,1.0,-1.0,-0.5,1.0,-1.0,1.0,0.0,-0.5,-0.5,1.0,-1.0,1
53.0,6.0,-1.0,1.0,1500.0,-1.0,1.0,13.0,1.0,37.59,1.0,-1.0,-1.0,0.5,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-0.5,-1.0,-1.0,1.0,-1.0,-1.0,-0.5,-1.0,-1.0,1.0,-1.0,0.5,1.0,-1.0,-1.0,-1.0,1.0,-0.5,1.0,-1.0,1
64.0,5.0,1.0,-1.0,2000.0,1.0,1.0,20.0,1.0,22.48,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.5,-1.0,-1.0,-1.0,1.0,1.0,0.75,1.0,0.0,-1.0,-0.5,1.0,0.0,-1.0,0.0,-0.5,-0.5,-1.0,-1.0,1
58.0,11.0,1.0,1.0,1000.0,-1.0,1.0,20.0,1.0,21.45,-0.5,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.5,-1.0,-1.0,-1.0,1.0,1.0,-0.75,1.0,1.0,1.0,-0.5,-1.0,-1.0,1.0,0.0,-0.5,1.0,1.0,-1.0,1
65.0,15.0,1.0,-1.0,4500.0,-1.0,-1.0,15.0,1.0,20.6,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.5,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.5,1.0,-1.0,-1.0,0.0,-0.5,1.0,-1.0,-1.0,1
51.0,4.0,-1.0,1.0,2500.0,1.0,1.0,2.0,1.0,47.27,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-0.5,1.0,-1.0,-1.0,-1.0,-1.0,-0.5,1.0,-1.0,1
48.0,0.0,-1.0,1.0,1200.0,-1.0,1.0,20.0,1.0,41.61,-0.5,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,0.5,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-0.5,1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,1
63.0,4.0,-1.0,-1.0,1400.0,1.0,-1.0,2.0,1.0,33.8,1.0,-1.0,1.0,0.5,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-0.5,-1.0,1.0,1.0,-1.0,0.5,1.0,-1.0,-1.0,0.0,-0.5,-1.0,-1.0,-1.0,1
51.0,4.0,-1.0,1.0,900.0,-1.0,1.0,15.0,1.0,35.65,1.0,-1.0,-1.0,0.5,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-0.5,-1.0,-1.0,1.0,-1.0,-1.0,-0.5,-1.0,-1.0,1.0,-1.0,0.5,1.0,-1.0,-1.0,-1.0,1.0,-0.5,1.0,-1.0,1
62.0,6.0,1.0,1.0,1500.0,-1.0,1.0,10.0,1.0,32.9,-0.5,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.5,-1.0,1.0,1.0,-1.0,-1.0,-0.5,-1.0,-1.0,1.0,-1.0,-0.5,1.0,-1.0,1.0,0.0,-0.5,-0.5,1.0,-1.0,1
41.0,5.0,1.0,1.0,1000.0,1.0,1.0,30.0,-1.0,25.61,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.5,-1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.0,-1.0,0.5,1.0,1.0,0.5,1.0,0.5,-0.5,1.0,-1.0,1
35.0,10.0,-1.0,1.0,800.0,-1.0,1.0,1.0,1.0,29.27,-0.5,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,-1.0,1.0,0.5,0.25,1.0,1.0,1.0,1.0,-1.0,0.0,-1.0,1.0,-0.5,-0.5,1.0,-1.0,1
55.0,2.0,1.0,1.0,1000.0,-1.0,1.0,30.0,-1.0,27.43,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,-1.0,1
44.0,15.0,-1.0,1.0,2000.0,-1.0,1.0,4.0,1.0,32.1,-0.5,-1.0,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.75,1.0,0.0,1.0,0.5,1.0,1.0,-1.0,-1.0,1.0,-0.5,-1.0,-1.0,1
76.0,3.0,1.0,-1.0,800.0,-1.0,1.0,20.0,1.0,19.11,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.5,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,-0.5,-1.0,-1.0,1
52.0,12.0,-1.0,-1.0,1000.0,1.0,1.0,14.0,1.0,23.78,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.5,0.5,1.0,1.0,-1.0,-1.0,-0.5,-0.5,1.0,0.0,1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1
40.0,11.0,1.0,1.0,900.0,1.0,1.0,2.0,1.0,22.22,-0.5,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-0.5,-1.0,1.0,-1.0,1.0,1.0,-0.75,-1.0,-1.0,1.0,1.0,0.0,0.0,0.5,0.0,-0.5,1.0,-1.0,-1.0,1
74.0,1.0,1.0,-1.0,770.0,1.0,1.0,30.0,1.0,25.1,-0.5,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.5,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1
55.0,4.0,-1.0,-1.0,700.0,-1.0,1.0,20.0,1.0,32.9,0.5,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,-0.5,1.0,-1.0,1
65.0,7.0,-1.0,-1.0,780.0,-1.0,1.0,15.0,1.0,28.72,-0.5,-1.0,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-0.5,0.5,1.0,-1.0,-1.0,-1.0,-0.5,-0.75,1.0,1.0,-1.0,-0.5,1.0,-1.0,-1.0,1.0,-0.5,-0.5,-1.0,-1.0,1
